species_sim,rain_sim,species_miss_full,sp_1_mice,sp_1_mean,sp_1_ma,sp_1_kf,sp_2_mice,sp_2_mean,sp_2_ma,sp_2_kf,sp_3_mice,sp_3_mean,sp_3_ma,sp_3_kf,sp_4_mice,sp_4_mean,sp_4_ma,sp_4_kf,sp_5_mice,sp_5_mean,sp_5_ma,sp_5_kf,sp_6_mice,sp_6_mean,sp_6_ma,sp_6_kf,sp_7_mice,sp_7_mean,sp_7_ma,sp_7_kf,sp_8_mice,sp_8_mean,sp_8_ma,sp_8_kf,sp_9_mice,sp_9_mean,sp_9_ma,sp_9_kf,sp_10_mice,sp_10_mean,sp_10_ma,sp_10_kf,sp_11_mice,sp_11_mean,sp_11_ma,sp_11_kf,sp_12_mice,sp_12_mean,sp_12_ma,sp_12_kf,sp_13_mice,sp_13_mean,sp_13_ma,sp_13_kf,sp_14_mice,sp_14_mean,sp_14_ma,sp_14_kf,sp_15_mice,sp_15_mean,sp_15_ma,sp_15_kf,sp_16_mice,sp_16_mean,sp_16_ma,sp_16_kf,sp_17_mice,sp_17_mean,sp_17_ma,sp_17_kf,sp_18_mice,sp_18_mean,sp_18_ma,sp_18_kf,sp_19_mice,sp_19_mean,sp_19_ma,sp_19_kf,sp_20_mice,sp_20_mean,sp_20_ma,sp_20_kf,sp_21_mice,sp_21_mean,sp_21_ma,sp_21_kf,sp_22_mice,sp_22_mean,sp_22_ma,sp_22_kf,species_seed,rain_seed
0.6141367499038508,250.738679348217,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,0.6141367499038508,1205,4732
1.2475987939389896,245.582236155264,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1.2475987939389896,1205,4732
1.6830260402273787,322.245080798321,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1.6830260402273787,1205,4732
1.5170329963839193,161.988447470522,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1.5170329963839193,1205,4732
1.3566495800166725,128.175207212178,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1.3566495800166725,1205,4732
1.4824730139764943,254.804514348448,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1.4824730139764943,1205,4732
2.570238987324639,62.4016299559614,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,2.570238987324639,1205,4732
1.0826473194939576,252.312273840004,NA,0.9151942364971958,1.375281918718762,1.7189422671476007,1.375281063500434,1.108358629950857,1.3710608273178717,1.7088347417477798,1.3710599671780161,2.1694126607760396,1.3757931710372069,1.8753875901949109,1.3757922955714121,1.3532873173009545,1.3684227544291283,1.8674898602456715,1.3684218773533967,1.4725123240951572,1.337800560976988,1.8674898602456715,1.3377997096088186,1.4940124634229786,1.3202314428332407,1.8674898602456715,1.3202306022453236,0.8844447797356454,1.3311685240946862,1.8674898602456715,1.3311676602020277,1.2424766839335566,1.3433991478255245,1.8674898602456715,1.3433982584822486,1.740988172257499,1.3579067561142253,1.8674898602456715,1.3579058378808044,1.0566339357765304,1.3588850983105054,1.8674898602456715,1.3588841673762724,1.0552734115922553,1.3559730363587423,1.8674898602456715,1.3559720973266864,0.8063282338250577,1.3647171347798004,1.8674898602456715,1.3647161724985155,1.0383338565263065,1.3809524614483417,1.8674898602456715,1.3809514655851003,0.9444727473611481,1.391942632403139,1.8674898602456715,1.3919416089757046,0.8050447995601684,1.3871991540410746,1.8674898602456715,1.3871981232926058,0.7915924011274977,1.3951626650460396,1.8674898602456715,1.3951616096070694,0.9938403348064518,1.402577114546849,1.8674898602456715,1.4025760344930622,1.2553912102707292,1.3685026482493645,1.8674898602456715,1.368501600520495,0.7729591879095027,1.3522694364857248,1.8674898602456715,1.3522683968638203,1.8540051113947156,1.3510233258425366,1.8674898602456715,1.3510222731491133,0.6419708684394057,1.3504588019890307,1.8674898602456715,1.3504577348573268,0.9428919011503234,1.335497670620662,1.8674898602456715,1.3354966097973742,1205,4732
1.7467379619971077,114.536113433753,NA,1.7467379619971077,1.7467379619971077,1.7467379619971077,1.7467379619971077,1.2045788108553002,1.3710608273178717,1.4187114768050493,1.3710599671780161,1.9331738765017665,1.3757931710372069,1.6812055071303975,1.3757922955714121,1.5889044945359487,1.3684227544291283,1.6264649250968006,1.3684218773533967,1.1950160930150926,1.337800560976988,1.6264649250968006,1.3377997096088186,1.69915815409601,1.3202314428332407,1.6264649250968006,1.3202306022453236,0.785234766990584,1.3311685240946862,1.6264649250968006,1.3311676602020277,0.7532146217515762,1.3433991478255245,1.6264649250968006,1.3433982584822486,0.9199344031635037,1.3579067561142253,1.6264649250968006,1.3579058378808044,1.1639590164298643,1.3588850983105054,1.6264649250968006,1.3588841673762724,0.7794196646428586,1.3559730363587423,1.6264649250968006,1.3559720973266864,1.1053819198994164,1.3647171347798004,1.6264649250968006,1.3647161724985155,1.0168386799124391,1.3809524614483417,1.6264649250968006,1.3809514655851003,1.3766314590018518,1.391942632403139,1.6264649250968006,1.3919416089757046,1.298642449402607,1.3871991540410746,1.6264649250968006,1.3871981232926058,1.0204255160250766,1.3951626650460396,1.6264649250968006,1.3951616096070694,2.2053519236903276,1.402577114546849,1.6264649250968006,1.4025760344930622,0.8135638818026275,1.3685026482493645,1.6264649250968006,1.368501600520495,1.1671268601746323,1.3522694364857248,1.6264649250968006,1.3522683968638203,0.5012284461626866,1.3510233258425366,1.6264649250968006,1.3510222731491133,1.3783583441981242,1.3504588019890307,1.6264649250968006,1.3504577348573268,1.0392764485200328,1.335497670620662,1.6264649250968006,1.3354966097973742,1205,4732
0.95934692373569,327.880165396693,NA,0.95934692373569,0.95934692373569,0.95934692373569,0.95934692373569,0.95934692373569,0.95934692373569,0.95934692373569,0.95934692373569,1.8801016959937817,1.3757931710372069,1.413836629850763,1.3757922955714121,1.047405894901442,1.3684227544291283,1.2436045242847016,1.3684218773533967,0.7235544653278805,1.337800560976988,1.2436045242847016,1.3377997096088186,1.4183597066118057,1.3202314428332407,1.2436045242847016,1.3202306022453236,1.1180022804554688,1.3311685240946862,1.2436045242847016,1.3311676602020277,0.6235244959517324,1.3433991478255245,1.2436045242847016,1.3433982584822486,2.1074937365317625,1.3579067561142253,1.2436045242847016,1.3579058378808044,1.5125722600370954,1.3588850983105054,1.2436045242847016,1.3588841673762724,1.0737925515624676,1.3559730363587423,1.2436045242847016,1.3559720973266864,1.5156582956157385,1.3647171347798004,1.2436045242847016,1.3647161724985155,1.2979190386064197,1.3809524614483417,1.2436045242847016,1.3809514655851003,0.806504248603723,1.391942632403139,1.2436045242847016,1.3919416089757046,0.9942295039938811,1.3871991540410746,1.2436045242847016,1.3871981232926058,0.7800742995690098,1.3951626650460396,1.2436045242847016,1.3951616096070694,1.6690373621389332,1.402577114546849,1.2436045242847016,1.4025760344930622,1.0965388736507318,1.3685026482493645,1.2436045242847016,1.368501600520495,1.069518057932859,1.3522694364857248,1.2436045242847016,1.3522683968638203,1.1679752755823092,1.3510233258425366,1.2436045242847016,1.3510222731491133,1.874967328699248,1.3504588019890307,1.2436045242847016,1.3504577348573268,1.394562597562617,1.335497670620662,1.2436045242847016,1.3354966097973742,1205,4732
