year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.6574459038514051,0.8984864266144906,0.9330659885857235,1.7118061216297387,1.285576912424554,Notomys.alexis,Tobermorey East,60,9011,1575
9,1.277824382652097,0.6388610980892219,0.9330659885857235,1.533812521224318,1.2389523771638302,Notomys.alexis,Tobermorey East,60,9011,1575
10,0.3659685272613866,0.8337448680161768,0.9330659885857235,1.2586451952919744,1.1923278419031065,Notomys.alexis,Tobermorey East,60,9011,1575
12,1.5022886803043831,0.9320361491348548,0.9330659885857235,1.0487821701284117,1.1020696539995019,Notomys.alexis,Tobermorey East,60,9011,1575
19,0.7882901241025322,0.9745778750328331,0.9330659885857235,0.8111065907363394,0.9014308970659315,Notomys.alexis,Tobermorey East,60,9011,1575
24,0.3294953374627767,0.7801642061055472,0.9330659885857235,1.0235269296722929,0.8697867087579683,Notomys.alexis,Tobermorey East,60,9011,1575
39,1.0813554357062043,0.6029530172461891,0.9330659885857235,0.796736396917191,0.8014434743319447,Notomys.alexis,Tobermorey East,60,9011,1575
43,1.312603429225872,1.058916862876799,0.9330659885857235,0.7563699748891342,0.8946817298264672,Notomys.alexis,Tobermorey East,60,9011,1575
48,0.835538474169226,0.9578526829263994,0.9330659885857235,1.4190295977284575,1.0676154751066127,Notomys.alexis,Tobermorey East,60,9011,1575
55,0.5667589656852434,0.7639854259942801,0.9330659885857235,0.5653281091079332,0.8300812244718245,Notomys.alexis,Tobermorey East,60,9011,1575
