year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.3624380326375991,0.9516151896689632,1.0111636996159366,1.4615580035017492,1.2196382450973136,Notomys.alexis,Tobermorey East,9000,4214,5106
9,0.14262033760838677,1.0517625946562774,1.0111636996159366,1.4325565469377237,1.2171299972437648,Notomys.alexis,Tobermorey East,9000,4214,5106
10,0.6805946758833112,1.359249834084635,1.0111636996159366,1.3955266126429198,1.2146217493902158,Notomys.alexis,Tobermorey East,9000,4214,5106
12,0.9183830928058971,0.8056072573990294,1.0111636996159366,1.3405557890816802,1.2093704180688905,Notomys.alexis,Tobermorey East,9000,4214,5106
19,0.9495238464834246,1.1977839661928642,1.0111636996159366,1.1538460139933122,1.174181976190985,Notomys.alexis,Tobermorey East,9000,4214,5106
24,0.719849184868997,1.2368127786670342,1.0111636996159366,1.2938675491871374,1.142022224022948,Notomys.alexis,Tobermorey East,9000,4214,5106
39,1.7236901336034762,1.0980827307294392,1.0111636996159366,1.2020961835240884,0.9732828144491131,Notomys.alexis,Tobermorey East,9000,4214,5106
43,0.26317019960540056,0.8790273191655431,1.0111636996159366,0.4661774157785734,0.9103704698635604,Notomys.alexis,Tobermorey East,9000,4214,5106
48,0.2011160506603079,1.5074090021468969,1.0111636996159366,0.34364353388781105,0.8614235539320282,Notomys.alexis,Tobermorey East,9000,4214,5106
55,1.723827223145539,1.0930578551096382,1.0111636996159366,0.9503971646969505,0.8611989112795421,Notomys.alexis,Tobermorey East,9000,4214,5106
