year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,2.724354760622623,1.291715883340322,0.9540820705490407,1.5124635683898315,0.9540818044162576,Notomys.alexis,Tobermorey East,90,6277,7718
9,0.9210322314067694,1.3424421495379595,0.9540820705490407,1.850574521056687,0.9540818044162576,Notomys.alexis,Tobermorey East,90,6277,7718
10,0.8410064020959922,1.2693310975195349,0.9540820705490407,2.1151612123492733,0.9540818044162576,Notomys.alexis,Tobermorey East,90,6277,7718
12,1.245843242554737,1.1044979858278017,0.9540820705490407,1.4919096798965101,0.9540818044162576,Notomys.alexis,Tobermorey East,90,6277,7718
19,1.5398830195236974,0.592633134611775,0.9540820705490407,0.6778407201024508,0.9540818044162576,Notomys.alexis,Tobermorey East,90,6277,7718
24,0.10626676246850786,1.4433266502266155,0.9540820705490407,0.4113036757254472,0.9540818044162576,Notomys.alexis,Tobermorey East,90,6277,7718
39,0.15423543471772416,1.6873699415989494,0.9540820705490407,1.452147236419551,0.9540818044162577,Notomys.alexis,Tobermorey East,90,6277,7718
43,0.8097582566621606,1.8446791069650883,0.9540820705490407,1.8829605130466625,0.9540818044162578,Notomys.alexis,Tobermorey East,90,6277,7718
48,0.2062643300221536,1.4603338434593212,0.9540820705490407,0.4799222165399664,0.9540818044162578,Notomys.alexis,Tobermorey East,90,6277,7718
55,0.11504784172481242,0.9029540847461034,0.9540820705490407,1.0542079652274725,0.9540818044162578,Notomys.alexis,Tobermorey East,90,6277,7718
