year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.9601302424169684,0.8213625332370471,0.8407488150477753,1.3327567711863593,1.0712899862461343,Notomys.alexis,Tobermorey East,90,5813,3894
9,0.9121225471477312,0.6751174682680803,0.8407488150477753,0.9636159532811922,0.9009282329414277,Notomys.alexis,Tobermorey East,90,5813,3894
10,0.12634571403614214,0.4908656632431531,0.8407488150477753,0.4925694700619218,0.7305664796367211,Notomys.alexis,Tobermorey East,90,5813,3894
12,0.36579393856358333,0.992236862483944,0.8407488150477753,0.42397660314535673,0.5634602088313546,Notomys.alexis,Tobermorey East,90,5813,3894
19,1.330505101331867,0.515631924847694,0.8407488150477753,0.7626791521493599,0.7768668046432666,Notomys.alexis,Tobermorey East,90,5813,3894
24,0.6198785938908689,1.0615687240883613,0.8407488150477753,1.1445561328010565,1.1470047849756368,Notomys.alexis,Tobermorey East,90,5813,3894
39,0.351486445152317,0.26743052472293033,0.8407488150477753,1.1345368887179452,1.1725796723151212,Notomys.alexis,Tobermorey East,90,5813,3894
43,2.6211094571146543,0.7583944308134246,0.8407488150477753,1.817858058271071,1.698161615985248,Notomys.alexis,Tobermorey East,90,5813,3894
48,0.8994854449043301,1.1461222973501464,0.8407488150477753,0.6425171800612929,0.6845597350134103,Notomys.alexis,Tobermorey East,90,5813,3894
55,2.082446571528159,0.6407982247982881,0.8407488150477753,0.7964058087178599,0.7846043168101539,Notomys.alexis,Tobermorey East,90,5813,3894
