year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.08156676440680188,1.1560258836493926,1.013498892158112,0.7787232046435207,1.0697611285240072,Notomys.alexis,Tobermorey East,9000,9563,4361
9,0.3385264139245334,0.5950713283684299,1.013498892158112,0.576901327355632,1.070592275004871,Notomys.alexis,Tobermorey East,9000,9563,4361
10,1.2071172690155598,0.46632645900747405,1.013498892158112,0.45806746685013755,1.071423421485735,Notomys.alexis,Tobermorey East,9000,9563,4361
12,0.6917376176912708,0.21320844688631338,1.013498892158112,0.7697513082870369,1.1064922697954995,Notomys.alexis,Tobermorey East,9000,9563,4361
19,0.9194626707717715,1.821420092007393,1.013498892158112,1.6453701568995729,1.3329993565538358,Notomys.alexis,Tobermorey East,9000,9563,4361
24,0.4687006261344915,1.21784054722375,1.013498892158112,1.3569870611859347,1.2418653195208698,Notomys.alexis,Tobermorey East,9000,9563,4361
39,0.8927206147787503,1.0820299653056422,1.013498892158112,0.555452446662674,0.7838827521825149,Notomys.alexis,Tobermorey East,9000,9563,4361
43,1.2171348738529724,0.9590590009234499,1.013498892158112,1.0835154582555535,0.8079471286373843,Notomys.alexis,Tobermorey East,9000,9563,4361
48,0.5746311555821628,1.3849562642302495,1.013498892158112,0.5887587094066506,0.6737344841132776,Notomys.alexis,Tobermorey East,9000,9563,4361
55,1.5220878613955988,0.7520953774529617,1.013498892158112,0.48064596306647844,0.5849814684905237,Notomys.alexis,Tobermorey East,9000,9563,4361
