year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,1.179869168092536,1.1513748224783156,0.9186274445822403,0.6518491322142677,0.7883841266551994,Notomys.alexis,Tobermorey East,60,9541,8264
9,1.1930309817349687,0.8847190182987068,0.9186274445822403,0.838103493711976,0.9266541223912438,Notomys.alexis,Tobermorey East,60,9541,8264
10,0.8887640723030785,1.2191768379754002,0.9186274445822403,1.0730024095894517,1.0649241181272882,Notomys.alexis,Tobermorey East,60,9541,8264
12,0.6846186436442612,1.355342087109401,0.9186274445822403,1.088283825683207,1.0257985768093478,Notomys.alexis,Tobermorey East,60,9541,8264
19,0.9228956270429036,1.0147285224600753,0.9186274445822403,1.0177750301973996,0.9122782792427824,Notomys.alexis,Tobermorey East,60,9541,8264
24,0.593151404858189,0.9665309330082534,0.9186274445822403,1.2117645964986004,1.2430567027932233,Notomys.alexis,Tobermorey East,60,9541,8264
39,0.7625356686964524,1.1867705596466336,0.9186274445822403,0.40287736131188745,0.4239128055021241,Notomys.alexis,Tobermorey East,60,9541,8264
43,0.46243546135245195,1.1436689456671805,0.9186274445822403,0.18396531483307896,0.15351409419397874,Notomys.alexis,Tobermorey East,60,9541,8264
48,1.1001511047050516,0.5076219027120359,0.9186274445822403,0.9016528533468998,0.9193049470228677,Notomys.alexis,Tobermorey East,60,9541,8264
55,0.4358536237079731,0.8648036190690876,0.9186274445822403,1.6120281672563506,1.673857561428472,Notomys.alexis,Tobermorey East,60,9541,8264
