year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.12240320184087583,0.8940017586745942,0.9481845673244005,0.6422997809854535,0.6889209698037243,Notomys.alexis,Tobermorey East,900,7554,7275
9,0.14223872995733977,2.1073559286456978,0.9481845673244005,0.7192084257392459,0.7004472052450625,Notomys.alexis,Tobermorey East,900,7554,7275
10,0.23856899793593955,1.4464643873558385,0.9481845673244005,0.7863609405173125,0.7119734406864007,Notomys.alexis,Tobermorey East,900,7554,7275
12,1.3712332005239407,0.821608464363568,0.9481845673244005,1.0087473343182736,0.7504324001321715,Notomys.alexis,Tobermorey East,900,7554,7275
19,0.27467286527327706,1.3090345880984378,0.9481845673244005,0.5038197439429828,0.5701744793531224,Notomys.alexis,Tobermorey East,900,7554,7275
24,0.15197988446857058,1.0588081003910872,0.9481845673244005,0.5201428861312372,0.61801039070481,Notomys.alexis,Tobermorey East,900,7554,7275
39,2.0377582527824867,1.316596398337196,0.9481845673244005,1.6776870126419894,1.318333401816842,Notomys.alexis,Tobermorey East,900,7554,7275
43,0.7930362391621459,0.721623379812195,0.9481845673244005,1.3755780424808306,1.3640450485729592,Notomys.alexis,Tobermorey East,900,7554,7275
48,0.8729718103956221,0.9050176922775399,0.9481845673244005,1.4758254491489982,1.2327346918229525,Notomys.alexis,Tobermorey East,900,7554,7275
55,0.6718878919736155,1.3243478460613485,0.9481845673244005,0.2938399328663499,0.5570423435131326,Notomys.alexis,Tobermorey East,900,7554,7275
