year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.9050400155460636,1.47565692199524,1.0631991200523807,1.0520391034360554,1.1741964531652551,Notomys.alexis,Tobermorey East,9000,6369,6131
9,0.4095037949273206,0.5540030355447082,1.0631991200523807,1.0673263847655146,1.240918770270747,Notomys.alexis,Tobermorey East,9000,6369,6131
10,0.0807284463208987,1.1427896819457408,1.0631991200523807,1.1293597615936724,1.3076410873762387,Notomys.alexis,Tobermorey East,9000,6369,6131
12,2.324105031805721,2.1407437254479187,1.0631991200523807,1.4818980867195664,1.4675982403111636,Notomys.alexis,Tobermorey East,9000,6369,6131
19,1.3038588625555438,1.4285827560207114,1.0631991200523807,1.6880348727564942,1.5893298865600634,Notomys.alexis,Tobermorey East,9000,6369,6131
24,4.6293024211241,0.6076252052999975,1.0631991200523807,1.267160686175448,1.2208196575399655,Notomys.alexis,Tobermorey East,9000,6369,6131
39,0.03932242437152955,0.7167398562200746,1.0631991200523807,0.876443202071718,0.998032459718406,Notomys.alexis,Tobermorey East,9000,6369,6131
43,0.7925237068347042,0.8726555516671021,1.0631991200523807,0.9131702684708224,0.907912007076852,Notomys.alexis,Tobermorey East,9000,6369,6131
48,0.34210469728123627,0.8594833189561586,1.0631991200523807,0.578241389062755,0.7563222732718046,Notomys.alexis,Tobermorey East,9000,6369,6131
55,1.074976704034158,1.6023181166508922,1.0631991200523807,0.39405458271312105,0.6290269878077999,Notomys.alexis,Tobermorey East,9000,6369,6131
