year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.5784368494993699,1.0827093837736455,1.121959703325526,0.4211916606194758,1.0372159334782356,Notomys.alexis,Tobermorey East,9000,1654,8145
9,0.9254228445300274,1.779337311572529,1.121959703325526,0.6006377205869612,1.236137103052661,Notomys.alexis,Tobermorey East,9000,1654,8145
10,0.4450329910481492,1.131551576656911,1.121959703325526,0.8922852634414262,1.4350582726270862,Notomys.alexis,Tobermorey East,9000,1654,8145
12,0.726890427215259,0.26368412332973873,1.121959703325526,2.0957986559921826,1.975725836723085,Notomys.alexis,Tobermorey East,9000,1654,8145
19,2.196311643974376,1.794177869631555,1.121959703325526,2.6353441008592755,2.69332514173595,Notomys.alexis,Tobermorey East,9000,1654,8145
24,2.6527142489839743,0.7126882698718711,1.121959703325526,2.5983211187728017,2.388490258449112,Notomys.alexis,Tobermorey East,9000,1654,8145
39,6.216193042492513,1.798082295413081,1.121959703325526,3.663626616558909,2.9690937138737965,Notomys.alexis,Tobermorey East,9000,1654,8145
43,3.1043465208641257,0.7479633340844819,1.121959703325526,3.571963745046614,2.94071658610701,Notomys.alexis,Tobermorey East,9000,1654,8145
48,0.7240569807002712,1.8647155801721156,1.121959703325526,1.1785167636218143,1.4544669052107717,Notomys.alexis,Tobermorey East,9000,1654,8145
55,0.4928884657318158,0.981000353691719,1.121959703325526,0.7702478614598005,0.8739303708547959,Notomys.alexis,Tobermorey East,9000,1654,8145
