year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.35628592640038237,0.863877217108789,1.0517466776954343,1.1073993597719516,0.9198182885157393,Notomys.alexis,Tobermorey East,90,7709,9164
9,1.862675945205988,0.7852919483157506,1.0517466776954343,1.0605898716576794,0.9011728890381296,Notomys.alexis,Tobermorey East,90,7709,9164
10,0.46470844248724896,1.0569392266194269,1.0517466776954343,0.9988631169425896,0.8825274895605199,Notomys.alexis,Tobermorey East,90,7709,9164
12,0.14140483067592546,1.0029598406977562,1.0517466776954343,0.7566605633607674,0.8342319442623493,Notomys.alexis,Tobermorey East,90,7709,9164
19,0.295890107857665,0.7805098218132096,1.0517466776954343,0.8104749250792191,0.789855716600278,Notomys.alexis,Tobermorey East,90,7709,9164
24,0.13685778998912257,1.0284248793434785,1.0517466776954343,0.4604255208514621,0.8072293650438034,Notomys.alexis,Tobermorey East,90,7709,9164
39,1.353447594000261,0.8940756327414789,1.0517466776954343,1.9851106249915067,1.6049320141888372,Notomys.alexis,Tobermorey East,90,7709,9164
43,1.0783068051626148,1.1192227036241709,1.0517466776954343,1.574743303662429,1.4924936434047598,Notomys.alexis,Tobermorey East,90,7709,9164
48,0.8388969052126141,1.0717367922658985,1.0517466776954343,1.151755142665352,1.2266931267358863,Notomys.alexis,Tobermorey East,90,7709,9164
55,2.2623605180585855,1.028050679168256,1.0517466776954343,0.8541143727110375,0.9954679817090165,Notomys.alexis,Tobermorey East,90,7709,9164
