year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,1.1075037319919394,1.0091007146826334,0.9934558550800798,0.9069538952598373,0.8831224126129563,Notomys.alexis,Tobermorey East,9000,9046,7880
9,0.91976271663518006,0.7842485138485383,0.9934558550800798,0.8257627259952405,0.8732363574814639,Notomys.alexis,Tobermorey East,9000,9046,7880
10,0.13581645606288828,0.597949347022992,0.9934558550800798,0.7247735762722087,0.8633503023499715,Notomys.alexis,Tobermorey East,9000,9046,7880
12,1.2109892122728683,0.5858139070798245,0.9934558550800798,0.7770666060490411,0.854383561719507,Notomys.alexis,Tobermorey East,9000,9046,7880
19,0.22855114841723312,0.8745106352836932,0.9934558550800798,1.0132065335009814,0.8184895407541265,Notomys.alexis,Tobermorey East,9000,9046,7880
24,0.9258262148692815,1.0573985454206976,0.9934558550800798,0.49509474771469547,0.662046092341085,Notomys.alexis,Tobermorey East,9000,9046,7880
39,0.8712487875459831,0.9621359367063128,0.9934558550800798,0.6035701869242116,0.6791210266296411,Notomys.alexis,Tobermorey East,9000,9046,7880
43,1.467553056500071,0.7341811400216459,0.9934558550800798,0.7151770280884073,0.6768535139101862,Notomys.alexis,Tobermorey East,9000,9046,7880
48,0.08651188515775177,0.620603618170637,0.9934558550800798,0.6166256603049883,0.6918697049023808,Notomys.alexis,Tobermorey East,9000,9046,7880
55,0.38222289091781225,1.1036169606296207,0.9934558550800798,0.7765088026222449,0.8024969158488503,Notomys.alexis,Tobermorey East,9000,9046,7880
