year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,1.1264860664330438,0.8328716717046444,0.8403796253887856,0.8694354305746007,0.840380428598482,Notomys.alexis,Tobermorey East,60,9046,7880
9,1.3993997815290324,0.4776825625467615,0.8403796253887856,0.7460335523462465,0.840380428598482,Notomys.alexis,Tobermorey East,60,9046,7880
10,0.3838803569192777,0.7033046347076576,0.8403796253887856,0.5958363704953676,0.840380428598482,Notomys.alexis,Tobermorey East,60,9046,7880
12,1.1841477829567686,0.888318565748542,0.8403796253887856,0.7904658590784353,0.840380428598482,Notomys.alexis,Tobermorey East,60,9046,7880
19,0.616932332468765,0.7864570066475834,0.8403796253887856,0.9851361262546035,0.840380428598482,Notomys.alexis,Tobermorey East,60,9046,7880
24,0.01142475197656978,1.0301979174146443,0.8403796253887856,0.4889030026902028,0.8403804285984819,Notomys.alexis,Tobermorey East,60,9046,7880
39,0.5045603510543291,0.5111407945273118,0.8403796253887856,0.8472686638714522,0.8403804285984819,Notomys.alexis,Tobermorey East,60,9046,7880
43,1.1205163712391868,1.0044232435600897,0.8403796253887856,0.8034170644197518,0.8403804285984819,Notomys.alexis,Tobermorey East,60,9046,7880
48,0.5971361514208904,0.964141953735457,0.8403796253887856,0.5433654204788114,0.8403804285984819,Notomys.alexis,Tobermorey East,60,9046,7880
55,0.3924040990267179,0.7708141126767363,0.8403796253887856,0.7355668635980639,0.8403804285984818,Notomys.alexis,Tobermorey East,60,9046,7880
