year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.18487215312988958,0.70606308718142,1.0369321818523753,1.4120173514421284,1.2709799179610923,Notomys.alexis,Tobermorey East,9000,6218,1300
9,0.28981748082206016,1.029977149505128,1.0369321818523753,1.3375921312134775,1.2684860404413816,Notomys.alexis,Tobermorey East,9000,6218,1300
10,0.992426542154498,0.48967078832995214,1.0369321818523753,1.1864200874012678,1.2659921629216708,Notomys.alexis,Tobermorey East,9000,6218,1300
12,0.16016313344923927,0.9865018663694576,1.0369321818523753,1.145518325105698,1.2675013047638053,Notomys.alexis,Tobermorey East,9000,6218,1300
19,1.1482486137057655,1.1551172691507776,1.0369321818523753,1.4508262686277902,1.2885892088884212,Notomys.alexis,Tobermorey East,9000,6218,1300
24,1.407053645612785,1.3826446403715413,1.0369321818523753,1.0552987405379326,1.2420092302844434,Notomys.alexis,Tobermorey East,9000,6218,1300
39,0.2317092380548067,1.0704888109532251,1.0369321818523753,0.8149777628180859,0.8048222144641994,Notomys.alexis,Tobermorey East,9000,6218,1300
43,0.5016186359359005,0.6921605588963544,1.0369321818523753,0.3289115841488068,0.6374140288814115,Notomys.alexis,Tobermorey East,9000,6218,1300
48,0.6270103406668273,1.0541243308743964,1.0369321818523753,0.18015779428559273,0.5595150060205487,Notomys.alexis,Tobermorey East,9000,6218,1300
55,0.5742892556076997,1.1529063085117903,1.0369321818523753,0.6869204580723829,0.7583469655719686,Notomys.alexis,Tobermorey East,9000,6218,1300
