year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.5047102069318177,1.4353369409453525,0.9608198627936044,1.9080229028931968,1.7989819668947231,Notomys.alexis,Tobermorey East,60,637,186
9,0.56458298157128,1.272598542424533,0.9608198627936044,1.612195153627867,1.5621733621701297,Notomys.alexis,Tobermorey East,60,637,186
10,1.0363116366485818,1.1866399943275998,0.9608198627936044,1.1338038763838865,1.325364757445536,Notomys.alexis,Tobermorey East,60,637,186
12,0.05925133655627568,0.7499403800932539,0.9608198627936044,0.6274133079630148,0.744436968671201,Notomys.alexis,Tobermorey East,60,637,186
19,0.46372108790272537,1.129658004523909,0.9608198627936044,0.845138041709092,0.7350471451427686,Notomys.alexis,Tobermorey East,60,637,186
24,1.8687775645210576,1.3675073101387432,0.9608198627936044,1.3789828149380792,1.6280117748875083,Notomys.alexis,Tobermorey East,60,637,186
39,0.9722879893098768,1.0451680388504998,0.9608198627936044,1.5407371044806426,1.5408021892773816,Notomys.alexis,Tobermorey East,60,637,186
43,0.328230676611853,1.6047081708605597,0.9608198627936044,0.9037633635993985,0.8693864791181926,Notomys.alexis,Tobermorey East,60,637,186
48,0.21383264514806832,0.9764429496264342,0.9608198627936044,0.3065455882307609,0.3101780058053667,Notomys.alexis,Tobermorey East,60,637,186
55,0.43424141474144373,0.7738207355623052,0.9608198627936044,0.8316745437345657,0.8991911805551018,Notomys.alexis,Tobermorey East,60,637,186
