year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,1.232011543816574,1.353279900273294,1.0509435622681285,2.2504549120353015,1.8859995705098263,Notomys.alexis,Tobermorey East,900,1205,4732
9,1.137103841187189,1.5433605641202832,1.0509435622681285,1.8427484958037237,1.8421822024513723,Notomys.alexis,Tobermorey East,900,1205,4732
10,0.3203705674362822,1.283546784625002,1.0509435622681285,1.3097152890445827,1.7983648343929184,Notomys.alexis,Tobermorey East,900,1205,4732
12,1.8145603603493856,1.3933085020899274,1.0509435622681285,1.7835427524946277,1.80881543052225,Notomys.alexis,Tobermorey East,900,1205,4732
19,2.179166297813797,2.1814026441834753,1.0509435622681285,1.3558581796587879,1.5114691486755225,Notomys.alexis,Tobermorey East,900,1205,4732
24,3.246038233412891,1.6530674172149826,1.0509435622681285,1.1665369626824063,1.3409947830146496,Notomys.alexis,Tobermorey East,900,1205,4732
39,0.6596773083408947,1.5698666645127533,1.0509435622681285,1.066595364274951,1.130599939133033,Notomys.alexis,Tobermorey East,900,1205,4732
43,0.5912825409142646,1.0422230303313749,1.0509435622681285,1.2384452262936367,1.2140142954201008,Notomys.alexis,Tobermorey East,900,1205,4732
48,1.7248438286475531,1.3263797571306395,1.0509435622681285,1.242246265716579,1.3366295062449711,Notomys.alexis,Tobermorey East,900,1205,4732
55,2.360734730637976,1.2098354979759651,1.0509435622681285,1.381164514895149,1.4952300470242124,Notomys.alexis,Tobermorey East,900,1205,4732
