year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.10288803804713442,0.42581334395744763,0.8274291368962188,1.0727921579870596,1.201130649065002,Notomys.alexis,Tobermorey East,90,9563,4361
9,1.0250113605032682,0.3685241178491939,0.8274291368962188,0.9274551299705087,1.1975144827399171,Notomys.alexis,Tobermorey East,90,9563,4361
10,0.9349976807956586,0.5137177109545589,0.8274291368962188,0.9338310193393559,1.1938983164148325,Notomys.alexis,Tobermorey East,90,9563,4361
12,0.3261789977169782,0.49548121231571796,0.8274291368962188,0.8601948949269356,1.1891760271981462,Notomys.alexis,Tobermorey East,90,9563,4361
19,0.8988097312188339,0.7127099938520869,0.8274291368962188,1.5514999555504325,1.2263482352997601,Notomys.alexis,Tobermorey East,90,9563,4361
24,0.7411318768591109,0.6814492842452412,0.8274291368962188,1.0590074778582284,1.1720304689088736,Notomys.alexis,Tobermorey East,90,9563,4361
39,0.8036932572772233,1.0536598607263448,0.8274291368962188,0.5700354178483008,0.8905076736581599,Notomys.alexis,Tobermorey East,90,9563,4361
43,0.7154635305426789,0.594598440450465,0.8274291368962188,1.2114590281217978,0.8405240435654568,Notomys.alexis,Tobermorey East,90,9563,4361
48,0.39849878657629034,0.6124813199751928,0.8274291368962188,0.4445197753106538,0.7054257136694202,Notomys.alexis,Tobermorey East,90,9563,4361
55,1.4490541572843165,1.0142899842617474,0.8274291368962188,0.3888852222979268,0.6088608003956745,Notomys.alexis,Tobermorey East,90,9563,4361
