year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.532922341728381,0.9527450033940109,1.0109899306983752,1.9377660734573694,1.1773506722688176,Notomys.alexis,Tobermorey East,9000,923,6792
9,0.23433664819409938,0.9103434264751893,1.0109899306983752,1.9123823329188105,1.1863805894812698,Notomys.alexis,Tobermorey East,9000,923,6792
10,0.9900103164135281,0.8324581540718603,1.0109899306983752,1.798888448119253,1.1954105066937222,Notomys.alexis,Tobermorey East,9000,923,6792
12,0.12548290561796005,1.170270920276033,1.0109899306983752,1.0771553782319743,1.1945684401159913,Notomys.alexis,Tobermorey East,9000,923,6792
19,0.8719967345786943,1.2754743478100743,1.0109899306983752,1.2970912191058366,1.289770645030485,Notomys.alexis,Tobermorey East,9000,923,6792
24,1.1890067842006156,0.6079811626581709,1.0109899306983752,1.9360649043152156,1.381173255506916,Notomys.alexis,Tobermorey East,9000,923,6792
39,0.4240196957905997,0.7195439518171978,1.0109899306983752,1.5229507278952088,1.1317761148179057,Notomys.alexis,Tobermorey East,9000,923,6792
43,2.1239828424848093,1.4137318937549843,1.0109899306983752,1.1645446838180855,1.0133948306149776,Notomys.alexis,Tobermorey East,9000,923,6792
48,0.24956981544386214,1.0054609285548206,1.0109899306983752,0.3568580986989976,0.8417252187459052,Notomys.alexis,Tobermorey East,9000,923,6792
55,0.13057122353977135,1.0639162128291384,1.0109899306983752,0.7618136464056969,0.8193523355654451,Notomys.alexis,Tobermorey East,9000,923,6792
