year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.25832408967419296,1.0368770660801023,1.0115263308320317,1.3355138701291487,1.2067769993537243,Notomys.alexis,Tobermorey East,60,8661,3683
9,0.09794401267119457,1.1335493019100362,1.0115263308320317,1.105764226601911,1.208900830813562,Notomys.alexis,Tobermorey East,60,8661,3683
10,0.06635505896920102,0.8321312820922327,1.0115263308320317,0.8422950194634111,1.2110246622733998,Notomys.alexis,Tobermorey East,60,8661,3683
12,0.019558855793010532,0.934680245790353,1.0115263308320317,1.0475097118121353,1.2278073199825195,Notomys.alexis,Tobermorey East,60,8661,3683
19,1.7693061569672062,0.8992183095245749,1.0115263308320317,1.6868618821753147,1.274765981548057,Notomys.alexis,Tobermorey East,60,8661,3683
24,1.0342642203999315,0.8923971338500654,1.0115263308320317,1.2111811490765851,1.189249827256592,Notomys.alexis,Tobermorey East,60,8661,3683
39,0.308382050245694,1.4894367111684104,1.0115263308320317,0.9536323508656511,0.9801573013850167,Notomys.alexis,Tobermorey East,60,8661,3683
43,0.7412089390050334,1.1476729469283387,1.0115263308320317,0.9701552165810187,0.9085903515389371,Notomys.alexis,Tobermorey East,60,8661,3683
48,1.3843230112811193,0.9515867904704916,1.0115263308320317,0.7569130498161185,0.7899228765491294,Notomys.alexis,Tobermorey East,60,8661,3683
55,0.2543242494622606,0.9356232981540817,1.0115263308320317,0.3488822525718884,0.6320885827193817,Notomys.alexis,Tobermorey East,60,8661,3683
