year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.22270507779034454,1.1854557924281184,1.065291434996878,0.5876297086865042,0.524794492758411,Notomys.alexis,Tobermorey East,900,286,4213
9,0.20514327916669872,0.9113779274036766,1.065291434996878,0.512882846456876,0.4848404785832007,Notomys.alexis,Tobermorey East,900,286,4213
10,0.4363239922681843,0.5996200437886856,1.065291434996878,0.36746786274243803,0.4448864644079905,Notomys.alexis,Tobermorey East,900,286,4213
12,0.7113377757563182,0.6383809729773415,1.065291434996878,0.23853970062089092,0.3656958625788431,Notomys.alexis,Tobermorey East,900,286,4213
19,0.5285607157824288,1.202704440452353,1.065291434996878,0.5068514300951182,0.4859463214903763,Notomys.alexis,Tobermorey East,900,286,4213
24,0.7329309884031798,1.4081158052591365,1.065291434996878,0.5922981056990876,0.5912579932646824,Notomys.alexis,Tobermorey East,900,286,4213
39,1.1829700913448207,0.8390895621650528,1.065291434996878,1.4978553736441909,1.3621276881962028,Notomys.alexis,Tobermorey East,900,286,4213
43,1.3533438383740197,0.8322250839014155,1.065291434996878,1.1249044749734127,1.1040397837876206,Notomys.alexis,Tobermorey East,900,286,4213
48,0.2753628329607858,0.7023661485667675,1.065291434996878,0.9987347985028432,0.9886469331972572,Notomys.alexis,Tobermorey East,900,286,4213
55,0.18077138441038154,1.1034085078073679,1.065291434996878,0.4236655095951367,0.5707333652055147,Notomys.alexis,Tobermorey East,900,286,4213
