year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.6223071468192902,0.8244492450846356,1.0613182787213464,0.674091583300091,1.1050138759412467,Notomys.alexis,Tobermorey East,9000,1447,3485
9,0.8127507472800106,0.720308659398915,1.0613182787213464,0.6383097563065745,1.1235553447412259,Notomys.alexis,Tobermorey East,9000,1447,3485
10,0.1188397187554242,1.0909058443537305,1.0613182787213464,0.606356944053522,1.142096813541205,Notomys.alexis,Tobermorey East,9000,1447,3485
12,0.12858024008686608,2.1130536318304753,1.0613182787213464,0.9763790138847609,1.1943655191915183,Notomys.alexis,Tobermorey East,9000,1447,3485
19,0.9528817121684772,0.8891560087529439,1.0613182787213464,1.5673447029553285,1.2969343302699639,Notomys.alexis,Tobermorey East,9000,1447,3485
24,1.7343032476002773,1.423304950444317,1.0613182787213464,1.317683607015375,1.2129327077960845,Notomys.alexis,Tobermorey East,9000,1447,3485
39,1.342883496333433,0.5808772204717884,1.0613182787213464,1.38026306382544,1.044373351414126,Notomys.alexis,Tobermorey East,9000,1447,3485
43,1.000670481935174,0.8196485748161946,1.0613182787213464,0.7962644242876609,0.9519702056547327,Notomys.alexis,Tobermorey East,9000,1447,3485
48,0.4162527351106269,1.4936384204317072,1.0613182787213464,0.5570695318506897,0.8750019544282849,Notomys.alexis,Tobermorey East,9000,1447,3485
55,0.33292984065934106,1.841018880345581,1.0613182787213464,1.167033418197762,0.8826657407342897,Notomys.alexis,Tobermorey East,9000,1447,3485
