year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.5856839953975095,0.6012994406956085,1.0098844615567635,0.8530534291127995,0.8090088688072156,Notomys.alexis,Tobermorey East,900,8710,7839
9,1.3160879232192473,1.9008437598506893,1.0098844615567635,1.101088743168009,0.8280061150117968,Notomys.alexis,Tobermorey East,900,8710,7839
10,0.9943750547410957,1.201283851659921,1.0098844615567635,1.2889540948797122,0.847003361216378,Notomys.alexis,Tobermorey East,900,8710,7839
12,1.5780461502062502,1.2057269279613128,1.0098844615567635,1.158082245117325,0.8289534660061921,Notomys.alexis,Tobermorey East,900,8710,7839
19,0.9413346010203592,0.7156595872815652,1.0098844615567635,0.5722528114809089,0.6966629130965362,Notomys.alexis,Tobermorey East,900,8710,7839
24,0.7605207757686487,0.919512859265525,1.0098844615567635,1.1850406559613804,0.8829235190905025,Notomys.alexis,Tobermorey East,900,8710,7839
39,1.1043057583232772,1.7611229587133446,1.0098844615567635,0.5853561891654973,0.7298236735793003,Notomys.alexis,Tobermorey East,900,8710,7839
43,1.5710883574347374,0.6282996312231983,1.0098844615567635,1.1364905755018946,0.9814584190108615,Notomys.alexis,Tobermorey East,900,8710,7839
48,0.49003766031877216,1.2895216143120833,1.0098844615567635,1.0470985847498435,1.0007263587221913,Notomys.alexis,Tobermorey East,900,8710,7839
55,0.9011905593335423,1.0507260598307386,1.0098844615567635,0.8413717715905672,0.9411579577400135,Notomys.alexis,Tobermorey East,900,8710,7839
