year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,1.933530889497583,0.7476370327126984,1.0080364867129543,0.8679497598446791,0.9045492026898603,Notomys.alexis,Tobermorey East,900,7641,1182
9,1.556564297646692,1.2777723164526398,1.0080364867129543,1.2512761712450442,0.9709221338011526,Notomys.alexis,Tobermorey East,900,7641,1182
10,3.687429714296785,0.9864663608820374,1.0080364867129543,1.730444149192893,1.0372950649124448,Notomys.alexis,Tobermorey East,900,7641,1182
12,2.016878214478296,1.0656758981848664,1.0080364867129543,1.6123365825159297,1.0994302842849601,Notomys.alexis,Tobermorey East,900,7641,1182
19,0.9773656820544607,1.0341345042425847,1.0080364867129543,0.7280044013724486,0.8788233793798995,Notomys.alexis,Tobermorey East,900,7641,1182
24,0.618669751062118,0.7914051630186403,1.0080364867129543,0.9003681760821887,0.799356947388202,Notomys.alexis,Tobermorey East,900,7641,1182
39,1.0941425030815801,0.6489827861709303,1.0080364867129543,0.806207065258715,0.7511889818545476,Notomys.alexis,Tobermorey East,900,7641,1182
43,2.1639694842681743,1.0870052269658002,1.0080364867129543,0.9006506530436674,0.8598073681127371,Notomys.alexis,Tobermorey East,900,7641,1182
48,0.35075594085354633,0.4085570693827529,1.0080364867129543,0.977169499067181,0.9309385636627925,Notomys.alexis,Tobermorey East,900,7641,1182
55,0.10993328819849779,1.1338602721920654,1.0080364867129543,0.5140329897281971,0.8086544542257814,Notomys.alexis,Tobermorey East,900,7641,1182
