year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.46916600317716295,1.6414646730764424,0.9987038209058218,0.7462739430082242,0.9078264389921082,Notomys.alexis,Tobermorey East,9000,7961,3518
9,0.5365716507325047,1.4802666650359746,0.9987038209058218,0.816403431666849,0.9086894219442425,Notomys.alexis,Tobermorey East,9000,7961,3518
10,0.4969591962776063,1.0579476440859816,0.9987038209058218,0.8896074065490375,0.9095524048963769,Notomys.alexis,Tobermorey East,9000,7961,3518
12,0.7951688936751631,0.9032791790757994,0.9987038209058218,1.1447283610100614,0.9113625998566933,Notomys.alexis,Tobermorey East,9000,7961,3518
19,0.3134956480168589,0.8746435238217093,0.9987038209058218,0.582874213558327,0.9147362894246915,Notomys.alexis,Tobermorey East,9000,7961,3518
24,2.687509326723675,0.5500199237168456,0.9987038209058218,0.523646654273825,0.9187793524480005,Notomys.alexis,Tobermorey East,9000,7961,3518
39,1.1648912898361936,1.038783997380467,0.9987038209058218,1.1052912260815595,0.933477659249312,Notomys.alexis,Tobermorey East,9000,7961,3518
43,1.243888626109559,0.5512469369067687,0.9987038209058218,1.0829068581294141,0.9349955708665768,Notomys.alexis,Tobermorey East,9000,7961,3518
48,0.39816156301453587,0.8755221436909495,0.9987038209058218,1.1401508844561574,0.9351792187983915,Notomys.alexis,Tobermorey East,9000,7961,3518
55,1.1156190850576677,0.8086303177701357,0.9987038209058218,0.6247080578621024,0.9333224688292472,Notomys.alexis,Tobermorey East,9000,7961,3518
