year,original,mice,mean,ma,kf,species_name,site,sim_years,species_seed,rain_seed
8,0.7127176317189747,1.1734018328784603,1.2200292997283535,0.773575483379359,1.1173068409668203,Notomys.alexis,Tobermorey East,60,1996,165
9,0.399849950935233,0.5220628349466606,1.2200292997283535,0.5314522436604984,1.1174320818206778,Notomys.alexis,Tobermorey East,60,1996,165
10,0.2899557927559495,1.1357186172788551,1.2200292997283535,0.39852415196653107,1.1175573226745352,Notomys.alexis,Tobermorey East,60,1996,165
12,1.2227716403018882,1.3808220322137479,1.2200292997283535,0.7373059666367712,1.1342561730812522,Notomys.alexis,Tobermorey East,60,1996,165
19,1.1306909132256413,1.6094631580400005,1.2200292997283535,1.4350449852597627,1.308675466516371,Notomys.alexis,Tobermorey East,60,1996,165
24,0.309850840836674,0.8661340673435366,1.2200292997283535,1.691863326476727,1.414217916052757,Notomys.alexis,Tobermorey East,60,1996,165
39,0.22073757653033121,0.8955926980303428,1.2200292997283535,0.8019811766333707,1.2312362933557925,Notomys.alexis,Tobermorey East,60,1996,165
43,0.6599410926305147,0.6518257237702655,1.2200292997283535,1.169114251001774,1.2331654500478955,Notomys.alexis,Tobermorey East,60,1996,165
48,1.076924461566672,1.525311386028981,1.2200292997283535,1.7795235019794735,1.218689615322683,Notomys.alexis,Tobermorey East,60,1996,165
55,0.550880237076323,1.024760234694375,1.2200292997283535,0.4794746481830369,0.997501488847234,Notomys.alexis,Tobermorey East,60,1996,165
8,1.6356692096326397,0.991690209228903,1.0454696331790476,2.3643823950998235,2.43756078814614,Notomys.alexis,Tobermorey East,60,2023,1568
9,1.1094829915531355,1.102384980210525,1.0454696331790476,1.8581658797688063,1.9247275296367679,Notomys.alexis,Tobermorey East,60,2023,1568
10,0.31831903748416823,0.9151673240568923,1.0454696331790476,1.1430597247189485,1.4118942711273959,Notomys.alexis,Tobermorey East,60,2023,1568
12,0.4112292952342944,1.3784154058235085,1.0454696331790476,0.626860746026485,0.6763580717368092,Notomys.alexis,Tobermorey East,60,2023,1568
19,0.08058625624664173,1.5117598411287005,1.0454696331790476,0.6708370249132841,0.32386879227968757,Notomys.alexis,Tobermorey East,60,2023,1568
24,0.8193492117794796,1.1008809964924218,1.0454696331790476,1.8080894705833812,1.9100772518612545,Notomys.alexis,Tobermorey East,60,2023,1568
39,0.2675974452606211,1.186650883312498,1.0454696331790476,0.9204331004060279,0.9479554740824373,Notomys.alexis,Tobermorey East,60,2023,1568
43,1.3370741127386139,1.0733172039348846,1.0454696331790476,1.8735371163879142,2.0466426143781136,Notomys.alexis,Tobermorey East,60,2023,1568
48,0.8231716955476043,0.6776479546228683,1.0454696331790476,1.2704951035452026,1.3072106956058003,Notomys.alexis,Tobermorey East,60,2023,1568
55,0.7158031031108594,1.3422099224401807,1.0454696331790476,0.5884739106609834,0.4706197538640133,Notomys.alexis,Tobermorey East,60,2023,1568
8,0.6797046035700762,1.2184053793261662,0.9449035510372369,1.032373282820956,1.0697092575110436,Notomys.alexis,Tobermorey East,60,2016,6744
9,0.2232568310053814,0.2883547056237141,0.9449035510372369,1.3197587482721989,1.0461867192820462,Notomys.alexis,Tobermorey East,60,2016,6744
10,1.0107052731550148,0.4530149613103084,0.9449035510372369,1.6367081677852469,1.022664181053049,Notomys.alexis,Tobermorey East,60,2016,6744
12,1.8266649142908715,1.4983391517673994,0.9449035510372369,1.022760043337149,0.9526303236699757,Notomys.alexis,Tobermorey East,60,2016,6744
19,0.5070837227289955,0.7321487653091814,0.9449035510372369,0.6965024170751621,0.7886475163169675,Notomys.alexis,Tobermorey East,60,2016,6744
24,1.1661807251864027,0.6549770088907183,0.9449035510372369,0.6221010549527966,0.7384686368866598,Notomys.alexis,Tobermorey East,60,2016,6744
39,1.4683694792327349,1.4707462718780788,0.9449035510372369,1.0230577455995176,0.9618556255427695,Notomys.alexis,Tobermorey East,60,2016,6744
43,2.2868110215686266,0.35479072166676684,0.9449035510372369,1.7722040884115866,1.0767531055468238,Notomys.alexis,Tobermorey East,60,2016,6744
48,1.3785391765198045,0.5207538298669507,0.9449035510372369,0.811009349252079,1.0838593141107458,Notomys.alexis,Tobermorey East,60,2016,6744
55,1.2021961548726376,0.319702492009983,0.9449035510372369,1.2266602510650342,1.06115607033616,Notomys.alexis,Tobermorey East,60,2016,6744
8,0.5860191949922493,1.0291329743709725,1.0283043306352635,1.3981203090247465,1.0283031381010248,Notomys.alexis,Tobermorey East,60,1233,6778
9,0.8922026369650886,0.8484512883129651,1.0283043306352635,1.5116136910676021,1.0283031381010248,Notomys.alexis,Tobermorey East,60,1233,6778
10,1.1708225965056647,0.658182632216482,1.0283043306352635,1.567632565788905,1.0283031381010248,Notomys.alexis,Tobermorey East,60,1233,6778
12,1.4811148040963769,1.098025892597577,1.0283043306352635,1.1319449132654773,1.0283031381010248,Notomys.alexis,Tobermorey East,60,1233,6778
19,0.04531617695544066,0.9980694712295721,1.0283043306352635,0.7426281432474408,1.0283031381010248,Notomys.alexis,Tobermorey East,60,1233,6778
24,0.5734748201078466,0.34191761875910626,1.0283043306352635,1.3131717635354991,1.028303138101025,Notomys.alexis,Tobermorey East,60,1233,6778
39,2.710067213875608,0.9988717484431522,1.0283043306352635,1.3282785540099211,1.0283031381010248,Notomys.alexis,Tobermorey East,60,1233,6778
43,0.6557622164600965,1.3871745560766333,1.0283043306352635,0.8928077534949086,1.0283031381010248,Notomys.alexis,Tobermorey East,60,1233,6778
48,0.3430007045254224,0.526411353091988,1.0283043306352635,0.6109610797090905,1.0283031381010246,Notomys.alexis,Tobermorey East,60,1233,6778
55,0.23738289822549352,1.1546469968028734,1.0283043306352635,1.0804726994908718,1.0283031381010246,Notomys.alexis,Tobermorey East,60,1233,6778
8,0.9153720837240704,0.6033329790791184,0.8550431363418323,0.5295613767726021,0.9004943774766841,Notomys.alexis,Tobermorey East,60,9563,4361
9,0.02628730309252647,0.5090503664899941,0.8550431363418323,0.49782903994867944,0.9000135049087907,Notomys.alexis,Tobermorey East,60,9563,4361
10,0.5687616057771228,0.7278638835508728,0.8550431363418323,0.6409548527969852,0.8995326323408973,Notomys.alexis,Tobermorey East,60,9563,4361
12,0.5006375260033464,0.8524359414047913,0.8550431363418323,0.7178077926945005,0.8989254659797324,Notomys.alexis,Tobermorey East,60,9563,4361
19,0.36446829794585156,0.9020241006338596,0.8550431363418323,1.314319017352776,0.8958996402351546,Notomys.alexis,Tobermorey East,60,9563,4361
24,0.7260252750634033,0.6636920889960125,0.8550431363418323,0.7921462370069665,0.8787655416319793,Notomys.alexis,Tobermorey East,60,9563,4361
39,0.9779848926091277,0.569763612096204,0.8550431363418323,0.6834342793576126,0.8390759400154069,Notomys.alexis,Tobermorey East,60,9563,4361
43,2.0240739749520245,0.7629787784720925,0.8550431363418323,1.2894300297516368,0.8310195166602362,Notomys.alexis,Tobermorey East,60,9563,4361
48,0.3828869483567232,0.7616967208451006,0.8550431363418323,0.5604377211103554,0.8091553860425954,Notomys.alexis,Tobermorey East,60,9563,4361
55,1.221147411983584,0.5592206550286886,0.8550431363418323,0.6103116136511784,0.7943367274153645,Notomys.alexis,Tobermorey East,60,9563,4361
8,0.07257164423664042,0.4902940411211477,0.7322136690148664,0.6766471720551835,0.7322141287756334,Notomys.alexis,Tobermorey East,60,7554,7275
9,0.20974365044556542,0.5924810719093758,0.7322136690148664,0.8654436333853118,0.7322141287756334,Notomys.alexis,Tobermorey East,60,7554,7275
10,0.5464421975332474,0.9645054037692887,0.7322136690148664,1.0147935463960027,0.7322141287756334,Notomys.alexis,Tobermorey East,60,7554,7275
